1272694845442854915	Catalent wins contract to manufacture AZD1222 COVID-19 vaccine candidate https://t.co/ZBDoJtrEX5
1272694848726827008	Liberals might be onto something...They talk about 'Environmental Racism' where the Environment knows the Color of your skin...Now Covid-19 apparently knows how to infect Trump MAGA Rally attendees, but stays away from thousands of BLM demonstratorsWow, Nature is Amazing!!
1272694859464183808	Coronavirus live news: global Covid-19 cases pass 8 million as Beijing closes sports halls | World news #coronavirus #beijing #case...https://t.co/NPHzBD6n2z
1272694860592689152	"Social Distance" - A music video parody about COVID-19 https://t.co/LahJr8WTXr via @YouTube
1272694869773807617	READ: Sen. Risa Hontiveros files resolution calling for a Senate inquiry into gov’t plans and programs for families of OFWs displaced by the COVID-19 pandemic. | @inquirerdotnet https://t.co/j9navOP1xn
1272694871623598081	Houston protesters starting to test positive for COVID-19 https://t.co/pn1lD5Y0Ij https://t.co/9FhebHcUaz
1272694880343646208	@SpeakerPelosi When the actually fatality rate from Covid-19 is 0.03% and the government shuts down society. Here is the reason:https://t.co/AE8fkgVxwN
1272694882658734080	More than 700 people in Pennsylvania prisons serving life sentences are older than 65, and more than 400 have served more than 40 years. The state’s reluctance to release vulnerable people during COVID-19 has been especially deadly for them. https://t.co/AUQ5n6wHQe
1272694888698728449	@iammohbad_ News: Nigeria Records 573 New COVID-19 Cases, 4 More DeathsHit The Link Below To See More Details On https://t.co/ClxzeIkdYK https://t.co/VXEiUHWjuQ
1272694892599312384	The next webinar in our #COVID19 series is this Thursday, June 18. Join infectious disease drug development experts to discuss how optimizing cocktail therapies for COVID-19 could be more effective against this virus than monotherapies. Register today: https://t.co/Yv2UVxC1lr https://t.co/nu2naLBHKV
1272694893538734080	COVID-19 Can Start With Neurological Symptoms https://t.co/9DLNP8i3Xg https://t.co/wt4tiRbpS0
1272694904339267585	June 15, 2020 7:55 PMOFFICE OF THE MAYOROFFICE OF EMERGENCY MANAGEMENTWESLACO – Five (5) New Additional COVID-19 Confirmed Cases (6/15/20) https://t.co/LGx10QNNvi
1272694905865777152	Related"Dr. Siegel on COVID-19 spike: 'It's not a second wave, let me explain'"More good info from Dr. Siegal.https://t.co/g3210GjaS4
1272694906503393281	Beijing races to track outbreak origins as Covid-19 cluster spreads https://t.co/96cXum3ZcH via @scmpnews
1272694906600001537	@cuppymusic @TemiOtedola News: Nigeria Records 573 New COVID-19 Cases, 4 More DeathsHit The Link Below To See More Details On https://t.co/ClxzeIkdYK https://t.co/VXEiUHWjuQ
1272694907501547520	Related"Rep. Waltz on new COVID-19 data: 'The left keeps moving the goal posts'"Says the number of new cases isn't as important as the number of hospitalizations. I agree. https://t.co/5bGnsJ1i3t
1272694909183488000	trump pretends the Covid-19 pandemic is over. "It magically went away"Trump signals a move past coronavirus with rallies, even as cases spike in many states https://t.co/WnLpfdYmxx
1272694909695414278	Zimbabwe's president leads prayer against COVID-19 https://t.co/DEw9Lru3Fq
1272694909900926979	Govt. ‘yet to know’ Jachiga’s COVID-19 status though confirms a case in Kisumu East where the musician hailed from - https://t.co/yz4Rsq4hHL
1272694911633174529	@SpeakerPelosi @RepKarenBass @TheBlackCaucus When the actually fatality rate from Covid-19 is 0.03% and the government shuts down society. Here is the reason:https://t.co/AE8fkgVxwN
1272694917026869248	Identifying airborne transmission as the dominant route for the spread of COVID-19 https://t.co/RBA2YteWX5
1272694918331367424	@realDonaldTrump Make sure you get all the signed consents not to sue.tRump "someone dies of COVID-19 in 2weeks?  I'm not responsible!! Don't know them..never heard of them!"😵😵😵
1272694921330376704	New Article: Burden of COVID-19 on the Market &amp; Rehabilitation Plan | Global Drilling Rig Market 2020-2024 | Growth in Oil and Gas Demand to Boost Growth | Technavio https://t.co/a25Jjlhsil #Commodities June 15, 2020
1272694927093268482	Ohio State requires players to sign COVID-19 waivers, a move that will likely become commonplace https://t.co/qBErsxJWnW
1272694929626730496	@realDonaldTrump Testing shows that cases EXIST. If the testing is showing more cases, that's because there are cases of Covid-19 out there. The cases don't go away just because they're not reported or tested. This is a new low in abject pig-ignorance on your part, you chickenshit fraudster.
1272694931396558848	COVID-19 Lockdown: Compliance and Enforcementhttps://t.co/QMnvSqa3sF
1272694936790396928	COVID-19 Coronavirus Business Impact - Planning for the final months of the Coronavirus Job Retention Scheme https://t.co/iQq3TOLFMO | by @dechertllp
1272694937444921344	@SenSchumer @SenateDems It’s weird how you didn’t care about Covid-19 during the last two weeks of protests/riots but you do now that Trump has announced a rally.. 🤔
1272694943446978574	@SpeakerPelosi When the actually fatality rate from Covid-19 is 0.03% and the government shuts down society. Here is the reason:https://t.co/AE8fkgVxwN
1272694944059269125	@thenanaaba @ighalojude News: Nigeria Records 573 New COVID-19 Cases, 4 More DeathsHit The Link Below To See More Details On https://t.co/ClxzeIkdYK https://t.co/VXEiUHWjuQ
1272694948287086592	We know who to lay the deaths at the feet of...Pence Says Oklahoma COVID-19 Cases Have 'Flattened' — 2 Days After Record Jumphttps://t.co/T4h3V6qb50
1272694959741661185	COVID-19 Coronavirus Business Impact - Planning for the final months of the Coronavirus Job Retention Scheme https://t.co/sM9MkNp6lr | by @dechertllp
1272694963428634624	New post: "The ‘’Second Wave’’ Of COVID-19 Could Crush Oil Markets" https://t.co/YvtfN8XVPK
1272694965307609089	More Dallas Restaurants Forced to Close Again As Employees Contract COVID-19 - Eater Dallas https://t.co/LSNMPaYe3I
1272694968642162688	@chartsdrew @justinbieber @Drake News: Nigeria Records 573 New COVID-19 Cases, 4 More DeathsHit The Link Below To See More Details On https://t.co/ClxzeIkdYK https://t.co/VXEiUHWjuQ
1272694971586482177	@SpeakerPelosi When the actually fatality rate from Covid-19 is 0.03% and the government shuts down society. Here is the reason:https://t.co/AE8fkgVxwN
1272694976263020544	Just finished looking at the newest @goclio study on the impact of COVID-19 on the legal industry.  New numbers being released tomorrow. Join me &amp; @jack_newton live at 1 EST https://t.co/AtNiY8r0sp @bobambrogi @ABAInnovation @DBRodriguez5 @NickJRishwain @WAStateBar @TheFlaBar
1272694977693392896	WowGlobal Deaths Due to Various Causes and COVID-19 in 2020 https://t.co/TrHHpTb8yq Visualised with @f_l_o_u_r_i_s_h
1272694984517521408	Oscars 2021 moved to later date due to the COVID-19 https://t.co/gYTQkgvB8X
1272694986857947137	Oscars 2021 moved to later date due to the COVID-19 https://t.co/6ZsIpW2McD
1272694989131145216	@TheDemocrats How about we just ignore it and focus on locking up the Deep State and fixing these issues with the BLUE States!  We all know Covid-19 is a man made drug!
1272694989080887296	No Shit. The chronically ill and disabled community have BEEN saying this since March. We've been begging not to be forgotten or left to die."Death rates are 12 times higher for COVID-19 patients with chronic illnesses, according to new CDC report"  https://t.co/9Z7mIKkH5a
1272694990024605702	@rick_sherwood85 @venivici27 @NateSilver538 @cdc https://t.co/IhS1cJQ6IyHey Rick— here’s an article suggesting that seasonal influenza and COVID-19 have pretty similar “fatality by age” profiles. Can you cite a source for the 81 year old median figure? I haven’t been able to find one (other than Tucker Carlson)
1272694992151162880	DeSantis dismisses alarm over uptick in new Florida COVID-19 cases https://t.co/JPWtNIMkW4
1272694996349718529	As Minnesota COVID-19 cases drop, should ailing COVID-19 patients be allowed human contact? https://t.co/JHvxqWeCu4
1272694998199177216	News about COVID-19 always poisons me, so these days I don’t read news or watch TV news. This is for keeping my mental health sane.
1272694999243788288	@SpeakerPelosi @HouseDemocrats @SenateDems When the actually fatality rate from Covid-19 is 0.03% and the government shuts down society. Here is the reason:https://t.co/AE8fkgVxwN
1272694999671595008	@fails_dating @Mike_Pence @LewisForMN @iron_bulldog Masks mask science that tells us:“'Surgical &amp; cotton masks can filter particle[s] of 5 microns or more. COVID-19 particles are 50 times smaller'..."https://t.co/44NyuABcczMasks in pubic are medically ineffective, as bumper stickers are &amp; only partisan political virtue signs.
1272695010899701760	Visualization of COVID-19 spread with or without mask. #covid19 #WearAMask #WashYourHands #SocialDistance https://t.co/vrvf2zB3uD https://t.co/MeHCy0OevY
1272695012917235714	Fauci: U.S. may not return to 'real normality' from COVID-19 until next year https://t.co/JwkH7BTDcW
1272695017124106241	Delhi to get 200 Covid-19 isolation coaches on Tuesday, 180 at Anand Vihar station https://t.co/JItWLFyfPw
1272695019657474050	Mike Pence Lies About Oklahoma’s COVID-19 Numbers Ahead of Trump Rally https://t.co/RzVGFV5ZCU via @thedailybeast
1272695019753754626	SHARE THIS WITH YOUR GRANDPARENTS, even Fox News covered it being too early: Arizona man, 68, fears COVID-19 infection as state reopens, 'It was too much, too soon' https://t.co/ailCKwXOjF
1272695027513393153	@SpeakerPelosi @TIME When the actually fatality rate from Covid-19 is 0.03% and the government shuts down society. Here is the reason:https://t.co/AE8fkgVxwN
1272695029161586690	Coronavirus live news: global Covid-19 cases pass 8 million as Beijing closes sports halls https://t.co/S2aJ1BtYRK https://t.co/vho0JZeEnb
1272695030075895808	Trump Suggests Stopping COVID-19 Tests Would Result In Fewer Cases https://t.co/zwDJy8UcaX https://t.co/paUEr1l0M2
1272695033410584583	@kyrstensinema @SBAgov Glad you're getting that in Arizona. Here in Washington, DC, we were cheated out of $725 million in COVID-19 relief funds, and I have nobody to complain to, both because we're not allowed to have statehood.So will you co-sponsor S.631 for #DCstatehood? https://t.co/dDMQzZwsRz
1272695037298606082	FDA yanks emergency approval of Trump-backed drug hydroxychloroquine for COVID-19 https://t.co/gA7Pb1sM7h
1272695038586355717	@taylorswift13 @TheEllenShow News: Nigeria Records 573 New COVID-19 Cases, 4 More DeathsHit The Link Below To See More Details On https://t.co/ClxzeIkdYK https://t.co/VXEiUHWjuQ
